2022-11-04 20:16:28,672 |   Server |    INFO | ICE NYSE portfolio version 2.0.1.
2022-11-04 20:16:28,672 |  IcnHost |    INFO | Max Global Notional 1mm.
2022-11-04 20:16:28,673 |  IcnHost |    INFO | Beta file loaded.
2022-11-04 20:16:28,678 |  IcnHost |    INFO | Loaded alpha pkl file.
2022-11-04 20:16:28,958 |  IcnHost |    INFO | Loaded Omega pkl file.
2022-11-04 20:16:28,959 |  IcnHost |    INFO | Start time is set to 20221104 15:50:00.000000
2022-11-04 20:16:28,959 |  IcnHost |    INFO | End time is set to 20221104 15:59:59.000000
2022-11-04 20:16:28,960 |  IcnHost |    INFO | Record Timer set at 20221104 15:50:00.900000.
2022-11-04 20:16:28,961 |  IcnHost |    INFO | --------------------------
2022-11-04 20:16:28,961 |  IcnHost |    INFO | Configure
2022-11-04 20:16:28,961 |  IcnHost |    INFO | --------------------------
2022-11-04 20:16:28,961 |  IcnHost |    INFO | Global BP              1mm
2022-11-04 20:16:28,961 |  IcnHost |    INFO | Lambda                 0.5
2022-11-04 20:16:28,961 |  IcnHost |    INFO | Cost Linear         0.0003
2022-11-04 20:16:28,961 |  IcnHost |    INFO | Cost Quadratic           0
2022-11-04 20:16:28,961 |  IcnHost |    INFO | Lower Bound          -0.05
2022-11-04 20:16:28,961 |  IcnHost |    INFO | Upper Bound           0.05
2022-11-04 20:16:28,961 |  IcnHost |    INFO | --------------------------
2022-11-04 20:16:28,961 |  IcnHost |   ERROR | Failed to send MOC. Broken pipe.
2022-11-04 20:16:28,962 |  IcnHost |    INFO | MOC Scheduled at 20221104 15:58:55.000000.
2022-11-04 20:16:29,062 |   Server |    INFO | ACCEPTing connections on port 8866.
2022-11-04 20:16:31,620 |  IcnHost |    INFO | Stopped.
2022-11-04 20:16:31,620 |   Server |    INFO | Stopped.
2022-11-04 20:17:15,262 |   Server |    INFO | ICE NYSE portfolio version 2.0.1.
2022-11-04 20:17:15,262 |  IcnHost |    INFO | Max Global Notional 1mm.
2022-11-04 20:17:15,263 |  IcnHost |    INFO | Beta file loaded.
2022-11-04 20:17:15,269 |  IcnHost |    INFO | Loaded alpha pkl file.
2022-11-04 20:17:15,548 |  IcnHost |    INFO | Loaded Omega pkl file.
2022-11-04 20:17:15,550 |  IcnHost |    INFO | Start time is set to 20221104 15:50:00.000000
2022-11-04 20:17:15,550 |  IcnHost |    INFO | End time is set to 20221104 15:59:59.000000
2022-11-04 20:17:15,550 |  IcnHost |    INFO | Record refprice at 15:50:00 (XOM,0,0.00)
2022-11-04 20:17:15,550 |  IcnHost |    INFO | Record refprice at 15:50:00 (BABA,0,0.00)
2022-11-04 20:17:15,551 |  IcnHost |    INFO | Record refprice at 15:58:00 (XOM,0,0.00)
2022-11-04 20:17:15,551 |  IcnHost |    INFO | Record Timer set at 20221104 15:50:00.900000.
2022-11-04 20:17:15,550 |  IcnHost |    INFO | Record refprice at 15:55:00 (XOM,0,0.00)
2022-11-04 20:17:15,551 |  IcnHost |    INFO | Record refprice at 15:50:00 (UNH,0,0.00)
2022-11-04 20:17:15,551 |  IcnHost |    INFO | Record refprice at 15:58:00 (BABA,0,0.00)
2022-11-04 20:17:15,551 |  IcnHost |    INFO | --------------------------
2022-11-04 20:17:15,551 |  IcnHost |    INFO | Record refprice at 15:55:00 (BABA,0,0.00)
2022-11-04 20:17:15,551 |  IcnHost |    INFO | Record refprice at 15:50:00 (CVX,0,0.00)
2022-11-04 20:17:15,551 |  IcnHost |    INFO | Record refprice at 15:58:00 (UNH,0,0.00)
2022-11-04 20:17:15,551 |  IcnHost |    INFO | Configure
2022-11-04 20:17:15,552 |  IcnHost |    INFO | Record refprice at 15:55:00 (UNH,0,0.00)
2022-11-04 20:17:15,552 |  IcnHost |    INFO | Record refprice at 15:50:00 (LIN,0,0.00)
2022-11-04 20:17:15,552 |  IcnHost |    INFO | Record refprice at 15:58:00 (CVX,0,0.00)
2022-11-04 20:17:15,552 |  IcnHost |    INFO | --------------------------
2022-11-04 20:17:15,552 |  IcnHost |    INFO | Record refprice at 15:55:00 (CVX,0,0.00)
2022-11-04 20:17:15,552 |  IcnHost |    INFO | Record refprice at 15:50:00 (OXY,0,0.00)
2022-11-04 20:17:15,552 |  IcnHost |    INFO | Record refprice at 15:58:00 (LIN,0,0.00)
2022-11-04 20:17:15,552 |  IcnHost |    INFO | Global BP              1mm
2022-11-04 20:17:15,552 |  IcnHost |    INFO | Record refprice at 15:55:00 (LIN,0,0.00)
2022-11-04 20:17:15,552 |  IcnHost |    INFO | Record refprice at 15:50:00 (BAC,0,0.00)
